Disease,Description
Drug Reaction,Reaksi obat yang tidak diharapkan (ADR) adalah cedera yang disebabkan oleh penggunaan obat. ADR dapat terjadi setelah pemberian satu dosis atau pemberian obat dalam jangka panjang atau akibat kombinasi dua atau lebih obat.
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari famili Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum suntik atau transfusi yang terkontaminasi. Malaria Falciparum merupakan jenis yang paling mematikan.
Allergy,"Alergi adalah respons sistem imun terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Alergi dapat berupa makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem imun Anda adalah menjaga kesehatan Anda dengan melawan patogen berbahaya."
Hypothyroidism,"Hipotiroidisme, disebut juga tiroid kurang aktif atau tiroid rendah, adalah gangguan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid."
Psoriasis,"Psoriasis adalah kelainan kulit umum yang membentuk bercak-bercak tebal, merah, dan bergelombang yang ditutupi sisik berwarna keperakan. Bercak-bercak ini dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat ditularkan dari orang ke orang. Kadang-kadang terjadi pada anggota keluarga yang sama."
GERD,"Penyakit refluks gastroesofageal, atau GERD, adalah gangguan pencernaan yang memengaruhi sfingter esofagus bagian bawah (LES), cincin otot antara esofagus dan lambung. Banyak orang, termasuk wanita hamil, menderita nyeri ulu hati atau gangguan pencernaan asam yang disebabkan oleh GERD."
Chronic cholestasis,"Penyakit kolestatik kronik, baik yang terjadi pada masa bayi, anak-anak, atau dewasa, ditandai dengan gangguan transportasi asam empedu dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini merupakan salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan memengaruhi kemampuan hati untuk berfungsi.
Osteoarthristis,"Osteoartritis adalah bentuk artritis yang paling umum, yang menyerang jutaan orang di seluruh dunia. Kondisi ini terjadi ketika tulang rawan pelindung yang melindungi ujung-ujung tulang Anda terkikis seiring waktu."
(vertigo) Paroymsal  Positional Vertigo,Vertigo posisional paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum — sensasi tiba-tiba seperti berputar atau bagian dalam kepala berputar. Vertigo posisional paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.
Hypoglycemia," Hipoglikemia adalah kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering kali dikaitkan dengan pengobatan diabetes. Namun, obat-obatan lain dan berbagai kondisi — banyak yang langka — dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes."
Acne,"Jerawat vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista akibat penyumbatan dan peradangan pada unit pilosebasea (folikel rambut dan kelenjar sebasea yang menyertainya). Jerawat berkembang di wajah dan tubuh bagian atas. Kondisi ini paling sering menyerang remaja."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika kadar glukosa darah, yang juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke dalam sel-sel Anda untuk digunakan sebagai energi."
Impetigo,"Impetigo (im-puh-TIE-go) adalah infeksi kulit yang umum dan sangat menular yang terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka tersebut pecah dan membentuk kerak berwarna madu."
Hypertension,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri terus meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Peptic ulcer diseae,"Penyakit tukak lambung (PUD) adalah robekan pada lapisan dalam lambung, bagian pertama dari usus halus, atau terkadang esofagus bagian bawah. Tukak di lambung disebut tukak lambung, sedangkan tukak di bagian pertama usus disebut tukak duodenum."
Dimorphic hemorrhoids(piles),"Wasir, juga dieja hemoroid, adalah struktur pembuluh darah di saluran anus. Dalam ... Nama lain, Wasir, ambeien, penyakit hemoroid."
Common Cold,"Flu biasa adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa seperti itu. Banyak jenis virus dapat menyebabkan flu biasa."
Chicken pox,"Cacar air adalah penyakit yang sangat menular yang disebabkan oleh virus varicella-zoster (VZV). Penyakit ini dapat menyebabkan ruam yang gatal dan melepuh. Ruam ini pertama kali muncul di dada, punggung, dan wajah, lalu menyebar ke seluruh tubuh, menyebabkan sekitar 250 hingga 500 lepuh yang gatal."
Cervical spondylosis,"Spondilosis servikal adalah istilah umum untuk keausan akibat usia yang memengaruhi cakram tulang belakang di leher Anda. Saat cakram mengalami dehidrasi dan menyusut, tanda-tanda osteoartritis berkembang, termasuk tonjolan tulang di sepanjang tepi tulang (taji tulang)."
Hyperthyroidism,"Hipertiroidisme (tiroid yang terlalu aktif) terjadi ketika kelenjar tiroid memproduksi terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Urinary tract infection,"Infeksi saluran kemih: Infeksi pada ginjal, ureter, kandung kemih, atau uretra. Singkatan dari ISK. Tidak semua orang yang mengalami ISK mengalami gejala, tetapi gejala umumnya meliputi sering ingin buang air kecil dan nyeri atau rasa terbakar saat buang air kecil."
Varicose veins,"Vena yang membesar dan melilit, sering kali tampak seperti pembuluh darah biru yang menonjol dan terlihat jelas melalui kulit. Varises paling sering terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terutama terjadi pada kaki."
AIDS,"Sindrom imunodefisiensi yang didapat (AIDS) adalah kondisi kronis yang berpotensi mengancam jiwa yang disebabkan oleh virus imunodefisiensi manusia (HIV). Dengan merusak sistem kekebalan tubuh, HIV mengganggu kemampuan tubuh untuk melawan infeksi dan penyakit."
Paralysis (brain hemorrhage),"Perdarahan intraserebral (ICH) terjadi ketika darah tiba-tiba pecah ke dalam jaringan otak, yang menyebabkan kerusakan pada otak. Gejala biasanya muncul tiba-tiba selama ICH. Gejalanya meliputi sakit kepala, lemas, kebingungan, dan kelumpuhan, terutama pada satu sisi tubuh."
Typhoid,"Penyakit akut yang ditandai dengan demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki gejala awal yang tidak jelas, disertai demam, sakit kepala, sembelit, malaise, menggigil, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
Hepatitis B,"Hepatitis B adalah infeksi hati. Penyakit ini dapat menyebabkan jaringan parut pada organ, gagal hati, dan kanker. Penyakit ini dapat berakibat fatal jika tidak diobati. Penyakit ini menyebar saat orang bersentuhan dengan darah, luka terbuka, atau cairan tubuh seseorang yang mengidap virus hepatitis B."
Fungal infection,"Pada manusia, infeksi jamur terjadi saat jamur yang menyerang mengambil alih suatu area tubuh dan terlalu banyak untuk ditangani oleh sistem kekebalan tubuh. Jamur dapat hidup di udara, tanah, air, dan tanaman. Ada juga beberapa jamur yang hidup secara alami di dalam tubuh manusia. Seperti banyak mikroba, ada jamur yang bermanfaat dan jamur yang berbahaya."
Hepatitis C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang terjadi), hemodialisis, dan tusukan jarum suntik. Kerusakan yang disebabkan hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker."
Migraine,"Migrain dapat menyebabkan nyeri berdenyut hebat atau sensasi berdenyut, biasanya di satu sisi kepala. Kondisi ini sering kali disertai mual, muntah, dan kepekaan ekstrem terhadap cahaya dan suara. Serangan migrain dapat berlangsung selama berjam-jam hingga berhari-hari, dan nyerinya dapat begitu hebat hingga mengganggu aktivitas sehari-hari Anda."
Bronchial Asthma,"Asma bronkial adalah kondisi medis yang menyebabkan saluran udara paru-paru membengkak dan menyempit. Akibat pembengkakan ini, saluran udara menghasilkan lendir berlebih sehingga sulit bernapas, yang mengakibatkan batuk, napas pendek, dan mengi. Penyakit ini bersifat kronis dan mengganggu aktivitas sehari-hari."
Alcoholic hepatitis,"Hepatitis alkoholik adalah kondisi peradangan hati yang disebabkan oleh konsumsi alkohol berlebihan dalam jangka waktu lama. Kondisi ini juga diperparah oleh konsumsi alkohol berlebihan dan penggunaan alkohol secara terus-menerus. Jika Anda mengalami kondisi ini, Anda harus berhenti minum alkohol."
Jaundice,Pewarnaan kuning pada kulit dan sklera (bagian putih mata) akibat kadar pigmen empedu bilirubin yang tinggi dalam darah. Warna kuning ini meluas ke jaringan dan cairan tubuh lainnya. Penyakit kuning dulunya disebut &quot;morbus regius&quot; (penyakit kerajaan) karena kepercayaan bahwa hanya sentuhan seorang raja yang dapat menyembuhkannya.
Hepatitis E,Suatu bentuk peradangan hati langka yang disebabkan oleh infeksi virus hepatitis E (HEV). Penyakit ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui persediaan air yang terinfeksi di daerah-daerah tempat kotoran dapat masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.
Dengue,"penyakit menular akut yang disebabkan oleh virus flavivirus (spesies virus Dengue dari genus Flavivirus), yang ditularkan oleh nyamuk aedes, dan ditandai dengan sakit kepala, nyeri sendi parah, dan ruam. — disebut juga demam tulang patah, demam berdarah."
Hepatitis D,"Hepatitis D, yang juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan hati meradang. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut dan kanker hati. Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Heart attack,"Kematian otot jantung akibat hilangnya pasokan darah. Hilangnya pasokan darah biasanya disebabkan oleh penyumbatan total arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
Pneumonia,"Pneumonia adalah infeksi pada salah satu atau kedua paru-paru. Bakteri, virus, dan jamur menyebabkannya. Infeksi tersebut menyebabkan peradangan pada kantung udara di paru-paru, yang disebut alveoli. Alveoli terisi cairan atau nanah, sehingga sulit bernapas."
Arthritis,"Artritis adalah pembengkakan dan nyeri pada satu atau beberapa sendi. Gejala utama artritis adalah nyeri dan kekakuan sendi, yang biasanya memburuk seiring bertambahnya usia. Jenis artritis yang paling umum adalah osteoartritis dan artritis reumatoid."
Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, terutama lambung, serta usus besar dan kecil. Gastroenteritis yang disebabkan oleh virus dan bakteri adalah infeksi usus yang disertai gejala diare, kram perut, mual, dan muntah."
Tuberculosis,"Tuberkulosis (TB) adalah penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberculosis (MTB). Tuberkulosis umumnya menyerang paru-paru, tetapi juga dapat menyerang bagian tubuh lainnya. Sebagian besar infeksi tidak menunjukkan gejala, yang dalam hal ini dikenal sebagai tuberkulosis laten."
